time,ACB,BCM,BID,BVH,CTG,FPT,GAS,GVR,HDB,HPG,LPB,MBB,MSN,MWG,PLX,SAB,SHB,SSB,SSI,STB,TCB,TPB,VCB,VHM,VIB,VIC,VJC,VNM,VPB,VRE
2020-03-05,8.77,23.33,26.54,47.91,17.45,23.12,51.42,11.03,7.11,9.25,3.61,8.0,39.77,33.43,41.64,71.87,5.52,9.95,6.08,12.2,10.81,6.97,35.75,59.02,5.02,92.27,121.4,69.13,9.12,28.6
2020-03-06,8.67,22.77,25.97,47.47,16.98,22.65,50.76,10.94,7.04,9.21,3.44,7.9,40.54,32.44,41.06,68.89,5.61,9.95,6.08,12.1,10.57,6.89,35.66,58.21,4.96,91.65,119.9,68.54,9.12,28.2
2020-03-07,8.426666666666666,21.77,25.606666666666666,46.513333333333335,16.656666666666666,22.2,49.663333333333334,10.72181818181818,6.916666666666667,9.016666666666667,3.3133333333333335,7.753333333333334,40.78333333333333,31.85333333333333,40.13333333333333,67.37333333333333,5.486666666666667,9.95,5.97,11.866666666666667,10.366666666666667,6.766666666666667,35.166666666666664,57.303333333333335,4.72,90.05,117.3,67.08333333333334,8.94,27.65
2020-03-08,8.183333333333334,20.77,25.243333333333332,45.556666666666665,16.333333333333336,21.75,48.56666666666666,10.503636363636364,6.793333333333333,8.823333333333334,3.1866666666666665,7.6066666666666665,41.02666666666667,31.266666666666666,39.20666666666667,65.85666666666667,5.363333333333333,9.95,5.86,11.633333333333333,10.163333333333334,6.643333333333333,34.67333333333333,56.39666666666667,4.48,88.45,114.7,65.62666666666667,8.76,27.1
2020-03-09,7.94,19.77,24.88,44.6,16.01,21.3,47.47,10.285454545454545,6.67,8.63,3.06,7.46,41.27,30.68,38.28,64.34,5.24,9.95,5.75,11.4,9.96,6.52,34.18,55.49,4.24,86.85,112.1,64.17,8.58,26.55
2020-03-10,7.91,20.15,23.57,41.52,15.45,21.3,44.18,10.067272727272726,6.4,8.48,2.76,7.26,42.08,28.86,35.63,64.21,4.72,9.95,5.51,10.85,9.75,6.16,32.79,52.32,4.41,81.07,107.8,63.51,8.23,25.15
2020-03-11,7.94,21.08,22.52,39.39,15.25,20.96,42.01,9.849090909090908,6.15,8.34,3.06,6.93,39.81,27.96,33.73,64.64,4.44,9.95,5.36,10.65,9.36,6.27,32.36,52.46,4.41,80.98,106.5,65.63,8.11,24.6
2020-03-12,7.43,19.3,20.95,36.91,14.41,20.03,39.11,9.63090909090909,5.84,7.92,2.97,6.57,37.63,26.01,31.5,60.43,5.05,9.95,4.99,9.93,8.7,6.22,31.18,52.46,4.21,80.27,99.1,64.17,7.56,24.2
2020-03-13,7.08,18.37,19.49,34.34,13.55,19.14,36.41,9.412727272727272,5.44,7.43,2.8,6.12,37.63,24.22,29.3,58.69,4.72,9.95,4.69,9.28,8.1,6.01,29.01,49.37,3.99,75.91,94.0,62.98,7.04,22.55
2020-03-14,7.1033333333333335,18.43,19.186666666666664,34.050000000000004,13.593333333333334,19.463333333333335,36.56333333333333,9.194545454545453,5.453333333333334,7.566666666666666,2.83,6.196666666666666,37.9,24.04,29.55,58.83,4.783333333333333,9.95,4.753333333333334,9.453333333333333,8.18,6.09,28.98,49.49333333333333,4.036666666666667,76.26666666666667,94.66666666666667,63.266666666666666,7.033333333333333,22.55
2020-03-15,7.126666666666667,18.490000000000002,18.883333333333333,33.76,13.636666666666667,19.786666666666665,36.71666666666666,8.976363636363635,5.466666666666667,7.703333333333333,2.86,6.273333333333333,38.17,23.86,29.8,58.97,4.846666666666667,9.95,4.816666666666666,9.626666666666667,8.26,6.17,28.950000000000003,49.61666666666667,4.083333333333333,76.62333333333333,95.33333333333333,63.553333333333335,7.026666666666666,22.55
2020-03-16,7.15,18.55,18.58,33.47,13.68,20.11,36.87,8.758181818181818,5.48,7.84,2.89,6.35,38.44,23.68,30.05,59.11,4.91,9.95,4.88,9.8,8.34,6.25,28.92,49.74,4.13,76.98,96.0,63.84,7.02,22.55
2020-03-17,6.94,18.27,17.46,31.74,12.94,19.69,37.0,8.54,5.2,7.7,2.8,6.1,38.6,22.91,30.21,59.96,4.86,9.95,4.73,9.56,8.17,6.25,27.66,49.74,3.99,77.87,97.7,62.85,6.54,22.05
2020-03-18,7.22,19.02,19.38,33.91,13.98,20.47,38.05,9.29,5.39,8.01,2.89,6.39,39.49,24.64,33.11,57.83,5.14,9.95,5.03,10.0,8.58,6.64,29.57,49.74,4.13,76.89,98.0,62.85,7.01,21.25
2020-03-19,7.15,17.8,18.69,32.0,13.24,20.15,36.15,8.72,5.08,7.82,2.84,6.2,38.88,23.87,33.19,54.01,5.38,9.95,4.92,9.6,8.32,6.62,28.7,47.9,4.02,73.87,95.1,58.88,6.74,20.7
2020-03-20,7.25,17.43,18.78,30.17,13.11,20.05,36.87,8.11,5.06,7.7,2.8,6.18,38.68,23.96,33.19,51.07,5.33,9.95,5.03,9.74,8.32,6.64,26.75,47.01,4.05,73.33,97.4,58.88,6.91,20.4
