time,ACB,BCM,BID,BVH,CTG,FPT,GAS,GVR,HDB,HPG,LPB,MBB,MSN,MWG,PLX,SAB,SHB,SSB,SSI,STB,TCB,TPB,VCB,VHM,VIB,VIC,VJC,VNM,VPB,VRE
2020-02-16,9.233333333333334,25.27,29.22,50.050000000000004,18.116666666666667,23.103333333333335,58.70333333333333,10.200000000000001,7.430000000000001,9.856666666666666,3.18,8.56,40.406666666666666,34.413333333333334,44.28333333333334,81.22333333333333,3.493333333333333,9.95,6.626666666666666,11.866666666666667,11.51,6.983333333333333,39.086666666666666,64.99000000000001,5.166666666666667,98.55,129.0,71.13666666666667,9.173333333333334,31.933333333333334
2020-02-17,9.22,25.3,29.39,49.99,18.05,23.12,58.79,10.23,7.36,9.87,3.18,8.6,40.3,34.39,44.2,80.8,3.51,9.95,6.64,11.85,11.59,6.99,39.1,64.84,5.16,97.78,128.9,71.18,9.15,31.8
2020-02-18,9.36,24.55,30.02,49.82,18.18,23.71,57.54,10.05,7.43,9.87,3.14,8.56,40.22,34.91,43.87,77.82,3.46,9.95,6.54,11.75,11.69,6.95,38.97,64.11,5.1,95.11,128.8,71.32,9.25,31.5
2020-02-19,9.22,25.39,29.74,49.56,18.15,23.79,56.69,10.5,7.34,9.7,3.06,8.44,41.84,35.35,44.12,76.55,3.41,9.95,6.52,11.55,11.49,6.91,38.93,63.74,5.02,95.11,128.7,70.59,9.35,30.55
2020-02-20,9.33,25.3,29.68,50.43,18.48,23.88,57.94,10.67,7.34,9.83,3.06,8.48,41.59,35.64,44.28,76.76,3.37,9.95,6.6,11.55,11.59,6.83,39.32,64.33,5.1,97.78,128.7,71.12,9.57,30.9
2020-02-21,9.19,24.83,29.28,51.99,17.95,23.67,56.75,10.5,7.35,9.85,3.01,8.41,43.7,35.83,44.2,77.23,3.32,9.95,6.52,11.5,11.49,6.83,38.93,64.03,5.32,97.78,128.8,72.38,9.82,30.9
2020-02-22,9.073333333333332,24.766666666666666,28.803333333333335,51.32333333333334,17.616666666666667,23.386666666666667,56.486666666666665,10.41,7.293333333333333,9.76,2.9966666666666666,8.293333333333333,43.29333333333334,35.5,43.81333333333333,77.03,3.3366666666666664,9.95,6.46,11.366666666666667,11.336666666666666,6.78,38.71,63.59,5.283333333333333,97.18666666666667,128.70000000000002,72.02666666666666,9.71,30.73333333333333
2020-02-23,8.956666666666667,24.703333333333333,28.326666666666668,50.656666666666666,17.28333333333333,23.103333333333335,56.223333333333336,10.32,7.236666666666666,9.67,2.9833333333333334,8.176666666666668,42.88666666666666,35.17,43.42666666666667,76.83,3.3533333333333335,9.95,6.3999999999999995,11.233333333333333,11.183333333333334,6.7299999999999995,38.49,63.15,5.246666666666667,96.59333333333333,128.6,71.67333333333333,9.6,30.566666666666666
2020-02-24,8.84,24.64,27.85,49.99,16.95,22.82,55.96,10.23,7.18,9.58,2.97,8.06,42.48,34.84,43.04,76.63,3.37,9.95,6.34,11.1,11.03,6.68,38.27,62.71,5.21,96.0,128.5,71.32,9.49,30.4
2020-02-25,8.67,23.42,27.85,49.47,17.42,22.86,55.24,10.23,7.18,9.56,2.89,8.06,41.51,34.23,42.22,76.55,3.46,9.95,6.08,11.15,10.79,6.67,37.84,61.75,5.04,95.38,127.8,71.78,9.49,29.45
2020-02-26,8.67,24.17,27.57,49.21,17.48,23.37,54.32,10.76,7.24,9.52,2.93,8.1,40.7,34.52,41.97,76.29,3.74,9.95,6.17,11.4,10.91,6.65,37.4,61.16,4.99,94.76,125.6,70.59,9.69,29.5
2020-02-27,8.81,23.05,27.22,49.04,17.48,23.92,52.61,11.21,7.2,9.54,3.01,8.1,40.3,34.68,42.38,75.35,4.11,9.95,6.1,11.7,11.03,6.91,36.79,59.69,5.13,94.22,125.0,71.05,9.57,29.1
